1212|2019-12-05|dj|su|17:00|18:00|000000000000000000000000000000000000000000000
4539|2019-12-06|dj|dg|17:00|18:00|000000000000000000000000000000000000000000000
3674|2019-12-07|dj|su|17:00|18:00|000000000000000000000000000000000000000000000
4929|2019-12-07|dg|dj|17:00|19:00|000000000000000000000000000000000000000000000
5027|2019-12-08|dg|dj|08:00|10:00|000000000000000000000000000000000000000000000
4775|2019-12-10|dj|su|17:00|18:00|000000000000000000000000000000000000000000000
0592|2019-12-10|dj|su|18:00|19:00|000000000000000000000000000000000000000000000
1932|2019-12-11|su|dj|13:00|14:00|000000000000000010000000000000000000000000000
1111|2019-12-12|dg|dj|08:00|10:00|000000000000000000000000000100000000000000000
9493|2019-12-11|su|dj|21:00|22:00|000000000000001100000000000000000000011000000
2112|2019-12-11|dg|dj|08:00|09:00|000000000000000000000000000000001111000000000
